class,method,returnType,parameters
org.springframework.samples.petclinic.owner.VisitController,processNewVisitForm,java.lang.String,org.springframework.samples.petclinic.owner.Owner;int;org.springframework.samples.petclinic.owner.Visit;BindingResult;RedirectAttributes
org.springframework.samples.petclinic.PetClinicApplication,main,void,java.lang.String[]
org.springframework.samples.petclinic.PetClinicRuntimeHints,registerHints,void,RuntimeHints;java.lang.ClassLoader
org.springframework.samples.petclinic.system.CacheConfiguration,petclinicCacheConfigurationCustomizer,JCacheManagerCustomizer,
org.springframework.samples.petclinic.system.CacheConfiguration,cacheConfiguration,javax.cache.configuration.Configuration<Object,Object>,
org.springframework.samples.petclinic.system.CrashController,triggerException,java.lang.String,
org.springframework.samples.petclinic.system.WebConfiguration,localeResolver,LocaleResolver,
org.springframework.samples.petclinic.system.WebConfiguration,localeChangeInterceptor,LocaleChangeInterceptor,
org.springframework.samples.petclinic.system.WebConfiguration,addInterceptors,void,InterceptorRegistry
org.springframework.samples.petclinic.system.WelcomeController,welcome,java.lang.String,
org.springframework.samples.petclinic.vet.Vet,getSpecialtiesInternal,java.util.Set<org.springframework.samples.petclinic.vet.Specialty>,
org.springframework.samples.petclinic.vet.Vet,getSpecialties,java.util.List<org.springframework.samples.petclinic.vet.Specialty>,
org.springframework.samples.petclinic.vet.Vet,getNrOfSpecialties,int,
org.springframework.samples.petclinic.vet.Vet,addSpecialty,void,org.springframework.samples.petclinic.vet.Specialty
org.springframework.samples.petclinic.vet.VetController,showVetList,java.lang.String,int;Model
org.springframework.samples.petclinic.vet.VetController,addPaginationModel,java.lang.String,int;Page<Vet>;Model
org.springframework.samples.petclinic.vet.VetController,findPaginated,Page<Vet>,int
org.springframework.samples.petclinic.vet.VetController,showResourcesVetList,org.springframework.samples.petclinic.vet.Vets,
org.springframework.samples.petclinic.vet.VetRepository,findAll,java.util.Collection<org.springframework.samples.petclinic.vet.Vet>,
org.springframework.samples.petclinic.vet.VetRepository,findAll,Page<Vet>,Pageable
org.springframework.samples.petclinic.vet.Vets,getVetList,java.util.List<org.springframework.samples.petclinic.vet.Vet>,
