class,method,returnType,parameters
net.jforum.cache.CacheEngine,getValues,java.util.Collection<java.lang.Object>,java.lang.String
net.jforum.cache.CacheEngine,remove,void,java.lang.String;java.lang.String
net.jforum.cache.CacheEngine,remove,void,java.lang.String
net.jforum.cache.DefaultCacheEngine,init,void,
net.jforum.cache.DefaultCacheEngine,stop,void,
net.jforum.cache.DefaultCacheEngine,add,void,java.lang.String;java.lang.Object
net.jforum.cache.DefaultCacheEngine,add,void,java.lang.String;java.lang.String;java.lang.Object
net.jforum.cache.DefaultCacheEngine,get,java.lang.Object,java.lang.String;java.lang.String
net.jforum.cache.DefaultCacheEngine,get,java.lang.Object,java.lang.String
net.jforum.cache.DefaultCacheEngine,getValues,java.util.Collection<java.lang.Object>,java.lang.String
net.jforum.cache.DefaultCacheEngine,remove,void,java.lang.String;java.lang.String
net.jforum.cache.DefaultCacheEngine,remove,void,java.lang.String
net.jforum.cache.EhCacheEngine,init,void,
net.jforum.cache.EhCacheEngine,stop,void,
net.jforum.cache.EhCacheEngine,add,void,java.lang.String;java.lang.Object
net.jforum.cache.EhCacheEngine,add,void,java.lang.String;java.lang.String;java.lang.Object
net.jforum.cache.EhCacheEngine,get,java.lang.Object,java.lang.String;java.lang.String
net.jforum.cache.EhCacheEngine,get,java.lang.Object,java.lang.String
net.jforum.cache.EhCacheEngine,getValues,java.util.Collection<java.lang.Object>,java.lang.String
net.jforum.cache.EhCacheEngine,remove,void,java.lang.String;java.lang.String
net.jforum.cache.EhCacheEngine,remove,void,java.lang.String
net.jforum.cache.JBossCacheEngine,init,void,
net.jforum.cache.JBossCacheEngine,stop,void,
net.jforum.cache.JBossCacheEngine,add,void,java.lang.String;java.lang.Object
net.jforum.cache.JBossCacheEngine,add,void,java.lang.String;java.lang.String;java.lang.Object
net.jforum.cache.JBossCacheEngine,get,java.lang.Object,java.lang.String;java.lang.String
net.jforum.cache.JBossCacheEngine,get,java.lang.Object,java.lang.String
net.jforum.cache.JBossCacheEngine,getValues,java.util.Collection<java.lang.Object>,java.lang.String
net.jforum.cache.JBossCacheEngine,remove,void,java.lang.String;java.lang.String
net.jforum.cache.JBossCacheEngine,remove,void,java.lang.String
net.jforum.cache.JBossCacheListener,cacheStartStopEvent,void,Event
net.jforum.cache.JBossCacheListener,logNodeEvent,void,NodeEvent
net.jforum.cache.JBossCacheListener,nodeCreated,void,Fqn<?>
net.jforum.cache.JBossCacheListener,nodeRemoved,void,Fqn<?>
net.jforum.cache.JBossCacheListener,nodeLoaded,void,Fqn<?>
net.jforum.cache.JBossCacheListener,nodeEvicted,void,Fqn<?>
net.jforum.cache.JBossCacheListener,nodeModified,void,Fqn<?>
net.jforum.cache.JBossCacheListener,nodeVisited,void,Fqn<?>
net.jforum.cache.JBossCacheListener,cacheStarted,void,Cache<?,?>
net.jforum.cache.JBossCacheListener,cacheStopped,void,Cache<?,?>
net.jforum.cache.JBossCacheListener,viewChange,void,View
net.jforum.cache.JForumTransactionManagerLookup,getTransactionManager,TransactionManager,
net.jforum.Command,setTemplateName,void,java.lang.String
net.jforum.Command,enableIgnoreAction,void,
net.jforum.Command,list,void,
net.jforum.Command,process,Template,net.jforum.context.RequestContext;net.jforum.context.ResponseContext;SimpleHash
net.jforum.ConfigLoader,startSystemglobals,void,java.lang.String
net.jforum.ConfigLoader,loadModulesMapping,java.util.Properties,java.lang.String
net.jforum.ConfigLoader,createLoginAuthenticator,void,
net.jforum.ConfigLoader,loadUrlPatterns,void,
net.jforum.ConfigLoader,listenForChanges,void,
net.jforum.ConfigLoader,loadDaoImplementation,void,
net.jforum.ConfigLoader,startCacheEngine,void,
net.jforum.ConfigLoader,stopCacheEngine,void,
net.jforum.ConfigLoader,startSearchIndexer,void,
net.jforum.ConfigLoader,startSummaryJob,void,
net.jforum.ConfigLoader,startPop3Integration,void,
net.jforum.context.ForumContext,encodeURL,java.lang.String,java.lang.String
net.jforum.context.ForumContext,encodeURL,java.lang.String,java.lang.String;java.lang.String
net.jforum.context.ForumContext,isEncodingDisabled,boolean,
net.jforum.context.ForumContext,getRequest,net.jforum.context.RequestContext,
net.jforum.context.ForumContext,getResponse,net.jforum.context.ResponseContext,
net.jforum.context.ForumContext,isBot,boolean,
net.jforum.context.JForumContext,isBot,boolean,
net.jforum.context.JForumContext,encodeURL,java.lang.String,java.lang.String
net.jforum.context.JForumContext,encodeURL,java.lang.String,java.lang.String;java.lang.String
net.jforum.context.JForumContext,isEncodingDisabled,boolean,
net.jforum.context.JForumContext,getRequest,net.jforum.context.RequestContext,
net.jforum.context.JForumContext,getResponse,net.jforum.context.ResponseContext,
net.jforum.context.RequestContext,getRequestURI,java.lang.String,
net.jforum.context.RequestContext,getQueryString,java.lang.String,
net.jforum.context.RequestContext,getHeader,java.lang.String,java.lang.String
net.jforum.context.RequestContext,getCookies,Cookie[],
net.jforum.context.RequestContext,getRemoteAddr,java.lang.String,
net.jforum.context.RequestContext,getServerPort,int,
net.jforum.context.RequestContext,getScheme,java.lang.String,
net.jforum.context.RequestContext,getServerName,java.lang.String,
net.jforum.context.RequestContext,removeAttribute,void,java.lang.String
net.jforum.context.RequestContext,setAttribute,void,java.lang.String;java.lang.Object
net.jforum.context.RequestContext,getAttribute,java.lang.Object,java.lang.String
net.jforum.context.RequestContext,setCharacterEncoding,void,java.lang.String
net.jforum.context.RequestContext,getSessionContext,net.jforum.context.SessionContext,boolean
net.jforum.context.RequestContext,getSessionContext,net.jforum.context.SessionContext,
net.jforum.context.RequestContext,getContextPath,java.lang.String,
net.jforum.context.RequestContext,getRemoteUser,java.lang.String,
net.jforum.context.RequestContext,getIntParameter,int,java.lang.String
net.jforum.context.RequestContext,getParameterValues,java.lang.String[],java.lang.String
net.jforum.context.RequestContext,getParameter,java.lang.String,java.lang.String
net.jforum.context.RequestContext,getParameterNames,java.util.Enumeration<java.lang.String>,
net.jforum.context.RequestContext,getAction,java.lang.String,
net.jforum.context.RequestContext,getModule,java.lang.String,
net.jforum.context.RequestContext,addParameter,void,java.lang.String;java.lang.Object
net.jforum.context.RequestContext,addOrReplaceParameter,void,java.lang.String;java.lang.Object
net.jforum.context.RequestContext,getObjectParameter,java.lang.Object,java.lang.String
net.jforum.context.RequestContext,getLocales,java.util.Enumeration<java.util.Locale>,
net.jforum.context.RequestContext,getRequestURL,java.lang.StringBuffer,
net.jforum.context.RequestContext,isMobileRequest,boolean,
net.jforum.context.ResponseContext,setContentLength,void,int
net.jforum.context.ResponseContext,containsHeader,boolean,java.lang.String
net.jforum.context.ResponseContext,setHeader,void,java.lang.String;java.lang.String
net.jforum.context.ResponseContext,addCookie,void,Cookie
net.jforum.context.ResponseContext,encodeRedirectURL,java.lang.String,java.lang.String
net.jforum.context.ResponseContext,getCharacterEncoding,java.lang.String,
net.jforum.context.ResponseContext,sendRedirect,void,java.lang.String
net.jforum.context.ResponseContext,getOutputStream,ServletOutputStream,
net.jforum.context.ResponseContext,getWriter,java.io.PrintWriter,
net.jforum.context.ResponseContext,setContentType,void,java.lang.String
net.jforum.context.ResponseContext,encodeURL,java.lang.String,java.lang.String
net.jforum.context.ResponseContext,addHeader,void,java.lang.String;java.lang.String
net.jforum.context.ResponseContext,sendError,void,int
net.jforum.context.SessionContext,setAttribute,void,java.lang.String;java.lang.Object
net.jforum.context.SessionContext,removeAttribute,void,java.lang.String
net.jforum.context.SessionContext,getAttribute,java.lang.Object,java.lang.String
net.jforum.context.SessionContext,getId,java.lang.String,
net.jforum.context.SessionContext,getAttributeNames,java.util.Enumeration<java.lang.String>,
net.jforum.context.SessionContext,invalidate,void,
net.jforum.context.standard.StandardRequestContext,addParameter,void,java.lang.String;java.lang.Object
net.jforum.context.standard.StandardRequestContext,addOrReplaceParameter,void,java.lang.String;java.lang.Object
net.jforum.context.standard.StandardRequestContext,getAction,java.lang.String,
net.jforum.context.standard.StandardRequestContext,getAttribute,java.lang.Object,java.lang.String
net.jforum.context.standard.StandardRequestContext,getContextPath,java.lang.String,
net.jforum.context.standard.StandardRequestContext,getCookies,Cookie[],
net.jforum.context.standard.StandardRequestContext,getHeader,java.lang.String,java.lang.String
net.jforum.context.standard.StandardRequestContext,getIntParameter,int,java.lang.String
net.jforum.context.standard.StandardRequestContext,getModule,java.lang.String,
net.jforum.context.standard.StandardRequestContext,getObjectParameter,java.lang.Object,java.lang.String
net.jforum.context.standard.StandardRequestContext,getParameter,java.lang.String,java.lang.String
net.jforum.context.standard.StandardRequestContext,getParameterNames,java.util.Enumeration<java.lang.String>,
net.jforum.context.standard.StandardRequestContext,getParameterValues,java.lang.String[],java.lang.String
net.jforum.context.standard.StandardRequestContext,getQueryString,java.lang.String,
net.jforum.context.standard.StandardRequestContext,getRemoteAddr,java.lang.String,
net.jforum.context.standard.StandardRequestContext,getRemoteUser,java.lang.String,
