caller,callee,method,params,returns
com.upachar.web.config.security.CustomUserDetailsService,com.upachar.web.user.repository.UserRepository,findByPhone,java.lang.String,com.upachar.web.user.domain.User
com.upachar.web.config.security.CustomUserDetailsService,com.upachar.web.user.domain.UserRole,getRole,,com.upachar.web.user.enums.Role
com.upachar.web.user.controller.UserController,com.upachar.web.user.service.UserService,findUsersWithPaging,java.lang.Integer;java.lang.Integer,com.upachar.web.common.dto.PageDto
com.upachar.web.user.controller.UserController,com.upachar.web.user.service.UserService,signupUser,com.upachar.web.user.dto.UserSignupDto,com.upachar.web.user.domain.User
com.upachar.web.user.controller.UserController,com.upachar.web.user.service.UserService,signupAdmin,com.upachar.web.user.dto.UserSignupDto,com.upachar.web.user.domain.User
com.upachar.web.user.controller.UserController,com.upachar.web.user.service.UserService,findById,java.lang.Long,com.upachar.web.user.domain.User
com.upachar.web.user.controller.UserController,com.upachar.web.user.service.UserService,updateUser,java.lang.Long;com.upachar.web.user.dto.UserUpdateDto,com.upachar.web.user.domain.User
com.upachar.web.user.controller.UserController,com.upachar.web.user.service.UserService,deleteUser,java.lang.Long,void
com.upachar.web.user.controller.UserController,com.upachar.web.user.service.UserService,checkIfUserCreateable,com.upachar.web.user.dto.UserValidateDto,void
com.upachar.web.user.service.UserService,com.upachar.web.user.repository.UserRepository,findByEmail,java.lang.String,com.upachar.web.user.domain.User
com.upachar.web.user.service.UserService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.user.service.UserService,com.upachar.web.user.repository.UserRepository,findByEmail,java.lang.String,com.upachar.web.user.domain.User
com.upachar.web.user.service.UserService,com.upachar.web.user.repository.UserRepository,findByPhone,java.lang.String,com.upachar.web.user.domain.User
com.upachar.web.user.service.UserService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.user.service.UserService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.user.service.UserService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.user.service.UserService,com.upachar.web.user.repository.UserRepository,findByEmailAndIdNot,java.lang.String;java.lang.Long,com.upachar.web.user.domain.User
com.upachar.web.user.service.UserService,com.upachar.web.user.repository.UserRepository,findByIdNotAndPhone,java.lang.Long;java.lang.String,com.upachar.web.user.domain.User
com.upachar.web.user.service.UserService,com.upachar.web.order.service.OrderService,deleteAllAssociatedWithUser,java.lang.Long,void
com.upachar.web.user.service.UserService,com.upachar.web.common.dto.PageDto,<init>,,com.upachar.web.common.dto.PageDto
com.upachar.web.user.service.UserService,com.upachar.web.user.domain.User,<init>,,com.upachar.web.user.domain.User
com.upachar.web.user.service.UserService,com.upachar.web.user.domain.UserRole,<init>,com.upachar.web.user.enums.Role,com.upachar.web.user.domain.UserRole
com.upachar.web.user.service.UserService,com.upachar.web.user.domain.User,<init>,,com.upachar.web.user.domain.User
com.upachar.web.user.service.UserService,com.upachar.web.user.domain.UserRole,<init>,com.upachar.web.user.enums.Role,com.upachar.web.user.domain.UserRole
com.upachar.web.drug.controller.DrugController,com.upachar.web.drug.service.DrugService,findDrugsWithPaging,java.lang.Integer;java.lang.Integer,com.upachar.web.common.dto.PageDto
com.upachar.web.drug.controller.DrugController,com.upachar.web.drug.service.DrugService,findAllDrugsWithPaging,java.lang.Integer;java.lang.Integer,com.upachar.web.common.dto.PageDto
com.upachar.web.drug.controller.DrugController,com.upachar.web.drug.service.DrugService,findById,java.lang.Long,com.upachar.web.drug.domain.Drug
com.upachar.web.drug.controller.DrugController,com.upachar.web.drug.service.DrugService,findBySubCategoryId,java.lang.Long,java.util.List<com.upachar.web.drug.domain.Drug>
com.upachar.web.drug.controller.DrugController,com.upachar.web.drug.service.DrugService,getAllDrugNames,,java.util.Set<java.lang.String>
com.upachar.web.drug.controller.DrugController,com.upachar.web.drug.service.DrugService,getSpecialOfferDrugs,,java.util.List<com.upachar.web.drug.domain.Drug>
com.upachar.web.drug.controller.DrugController,com.upachar.web.drug.service.DrugService,getTrendingDrugs,,java.util.List<com.upachar.web.drug.domain.Drug>
com.upachar.web.drug.controller.DrugController,com.upachar.web.drug.service.DrugService,deleteDrug,java.lang.Long,void
com.upachar.web.drug.controller.DrugController,com.upachar.web.drug.service.DrugService,getTop10LatestDrugs,,java.util.List<com.upachar.web.drug.domain.Drug>
com.upachar.web.drug.controller.DrugController,com.upachar.web.drug.service.DrugService,findByBrandNameRegexOrGenericNameRegex,java.lang.String;java.lang.String,java.util.List<com.upachar.web.drug.domain.Drug>
com.upachar.web.drug.controller.CategoryController,com.upachar.web.drug.service.CategoryService,findAll,,java.util.List<com.upachar.web.drug.domain.Category>
com.upachar.web.drug.controller.CategoryController,com.upachar.web.drug.service.CategoryService,deleteCategory,java.lang.Long,void
com.upachar.web.drug.controller.SubCategoryController,com.upachar.web.drug.service.SubCategoryService,addSubCategory,java.lang.Long;com.upachar.web.drug.dto.SubCategoryDto,com.upachar.web.drug.domain.SubCategory
com.upachar.web.drug.controller.SubCategoryController,com.upachar.web.drug.service.SubCategoryService,findByCategoryId,java.lang.Long,java.util.List<com.upachar.web.drug.domain.SubCategory>
com.upachar.web.drug.controller.SubCategoryController,com.upachar.web.drug.service.SubCategoryService,updateSubCategory,java.lang.Long;com.upachar.web.drug.dto.SubCategoryDto,com.upachar.web.drug.domain.SubCategory
com.upachar.web.drug.controller.SubCategoryController,com.upachar.web.drug.service.SubCategoryService,deleteSubCategory,java.lang.Long,void
com.upachar.web.drug.controller.DosageFormController,com.upachar.web.drug.service.DosageFormService,addDosageForm,com.upachar.web.drug.dto.DosageFormDto,com.upachar.web.drug.domain.DosageForm
com.upachar.web.drug.controller.DosageFormController,com.upachar.web.drug.service.DosageFormService,findAll,,java.util.List<com.upachar.web.drug.domain.DosageForm>
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.drug.service.CategoryService,findById,java.lang.Long,com.upachar.web.drug.domain.Category
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.drug.repository.SubCategoryRepository,findByCategoryId,java.lang.Long,java.util.List<com.upachar.web.drug.domain.SubCategory>
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.drug.service.DrugService,deleteAllAssociatedToSubCategory,java.lang.Long,void
com.upachar.web.drug.service.SubCategoryService,com.upachar.web.drug.domain.SubCategory,<init>,,com.upachar.web.drug.domain.SubCategory
com.upachar.web.drug.service.DrugService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.drug.service.DrugService,com.upachar.web.common.utils.CustomBeanUtils,copyNonNullProperties,java.lang.Object;java.lang.Object,void
com.upachar.web.drug.service.DrugService,com.upachar.web.drug.repository.DrugRepository,findBySubCategoryId,java.lang.Long,java.util.List<com.upachar.web.drug.domain.Drug>
com.upachar.web.drug.service.DrugService,com.upachar.web.drug.repository.DrugRepository,findBySpecialOffer,java.lang.Boolean,java.util.List<com.upachar.web.drug.domain.Drug>
com.upachar.web.drug.service.DrugService,com.upachar.web.drug.repository.DrugRepository,findByTrending,java.lang.Boolean,java.util.List<com.upachar.web.drug.domain.Drug>
com.upachar.web.drug.service.DrugService,com.upachar.web.order.service.OrderService,deleteAllAssociatedWithDrug,java.lang.Long,void
com.upachar.web.drug.service.DrugService,com.upachar.web.drug.repository.DrugRepository,findTop10ByOrderByCreatedDateDesc,,java.util.List<com.upachar.web.drug.domain.Drug>
com.upachar.web.drug.service.DrugService,com.upachar.web.drug.repository.DrugRepository,findByBrandNameLikeOrGenericNameLike,java.lang.String;java.lang.String,java.util.List<com.upachar.web.drug.domain.Drug>
com.upachar.web.drug.service.DrugService,com.upachar.web.drug.domain.Drug,<init>,,com.upachar.web.drug.domain.Drug
com.upachar.web.drug.service.DrugService,com.upachar.web.common.dto.PageDto,<init>,,com.upachar.web.common.dto.PageDto
