src,dst,type,weight
com.upachar.web.drug.service.CategoryService,com.upachar.web.drug.repository.CategoryRepository,FIELD,1
com.upachar.web.drug.service.CategoryService,com.upachar.web.drug.service.SubCategoryService,FIELD,1
com.upachar.web.drug.service.CategoryService,com.upachar.web.common.utils.CustomBeanUtils,CALL,2
com.upachar.web.drug.service.CategoryService,com.upachar.web.drug.repository.CategoryRepository,CALL,1
com.upachar.web.drug.service.CategoryService,com.upachar.web.drug.service.SubCategoryService,CALL,1
com.upachar.web.drug.service.CategoryService,com.upachar.web.drug.domain.Category,CALL,1
com.upachar.web.drug.service.DosageFormService,com.upachar.web.drug.repository.DosageFormRepository,FIELD,1
com.upachar.web.drug.service.DosageFormService,com.upachar.web.common.utils.CustomBeanUtils,CALL,1
com.upachar.web.drug.domain.SubCategory,com.upachar.web.drug.domain.Category,FIELD,1
com.upachar.web.drug.domain.Drug,com.upachar.web.drug.domain.DosageForm,FIELD,1
com.upachar.web.drug.domain.Drug,com.upachar.web.drug.domain.SubCategory,FIELD,1
com.upachar.web.exceptionhandler.GlobalExceptionHandler,com.upachar.web.exceptionhandler.GlobalException,CALL,4
com.upachar.web.data.controller.DataController,com.upachar.web.data.service.DataService,FIELD,1
com.upachar.web.data.service.DataService,com.upachar.web.drug.service.DosageFormService,FIELD,1
com.upachar.web.data.service.DataService,com.upachar.web.drug.repository.DrugRepository,FIELD,1
com.upachar.web.data.service.DataService,com.upachar.web.drug.repository.CategoryRepository,FIELD,1
com.upachar.web.data.service.DataService,com.upachar.web.drug.repository.SubCategoryRepository,FIELD,1
com.upachar.web.data.service.DataService,com.upachar.web.drug.repository.CategoryRepository,CALL,1
com.upachar.web.data.service.DataService,com.upachar.web.drug.service.DosageFormService,CALL,1
